homeTeamAbbrev,teamName,observedRecord,observedWinPercent,win,pointsForAvg,pointsAgainstAvg,movAvg,observedDominance,scheduleStrength,scheduleStrengthRank,winRank,movRank,dominanceRank,ovr,ovrRank
VILL,Villanova Wildcats,10.0 - 7.0,0.5882352941176471,0.8916666666666667,76.0729577744066,64.11596132805933,11.956996446347276,0.1618419666993149,0.09595294998257976,22.0,38.5,47.0,66.0,3.7094393514308104,50.0
UVA,Virginia Cavaliers,13.0 - 5.0,0.7222222222222222,0.8194444444444444,68.73248027208372,53.89534796954364,14.837132302540077,0.1445154380952385,0.0423157288855589,69.0,64.5,23.0,75.0,3.655690733857042,51.0
BOIS,Boise State Broncos,13.0 - 4.0,0.7647058823529411,0.8166666666666667,75.75290126316779,63.109438372831534,12.643462890336252,0.1820019002812081,0.10308663162479693,15.0,67.0,40.0,48.0,3.6482677953044473,52.0
GCU,Grand Canyon Lopes,17.0 - 2.0,0.8947368421052632,0.9083333333333333,79.63198517921688,67.33724478726685,12.294740391950029,0.13387397128743,-0.031619648258365815,205.0,32.5,44.0,78.0,3.6283305309748473,53.0
SYR,Syracuse Orange,13.0 - 5.0,0.7222222222222222,0.8055555555555556,81.06905416196909,68.8882546318581,12.180799530110988,0.1817367421265345,0.10676081825735373,11.0,69.5,45.0,49.0,3.559355697492381,54.0
TEX,Texas Longhorns,13.0 - 5.0,0.7222222222222222,0.8583333333333333,76.82631325135206,65.79322842386526,11.033084827486803,0.1636677988980832,0.024311933180893024,98.0,52.0,55.0,65.0,3.508035431004263,55.0
NEB,Nebraska Cornhuskers,14.0 - 5.0,0.7368421052631579,0.825,79.01386584622425,70.2434025130062,8.770463333218046,0.2191233194443257,0.048160230741805574,63.0,61.0,72.0,31.0,3.499721500427049,56.0
XAV,Xavier Musketeers,10.0 - 8.0,0.5555555555555556,0.8861111111111111,79.62107617650268,71.1438700819298,8.477206094572878,0.1809653632091708,0.1345064860412869,5.0,41.5,76.0,51.0,3.4421490979686924,57.0
NU,Northwestern Wildcats,13.0 - 5.0,0.7222222222222222,0.8611111111111112,73.01179490910604,65.23347717586242,7.778317733243625,0.2061284277306428,0.04982870336669665,62.0,51.0,84.0,37.0,3.4388306866016505,58.0
KSU,Kansas State Wildcats,14.0 - 4.0,0.7777777777777778,0.8555555555555555,75.09669501953047,65.44838694929105,9.648308070239423,0.1765944697117805,0.05393509493841488,57.0,53.0,62.0,56.0,3.432858056112619,59.0
NEV,Nevada Wolf Pack,15.0 - 4.0,0.7894736842105263,0.7777777777777778,76.21415972076035,66.20974316402678,10.004416556733574,0.2044652151421192,0.015000612078160388,110.0,83.0,60.0,38.0,3.375289180404237,60.0
MISS,Ole Miss Rebels,15.0 - 3.0,0.8333333333333334,0.8472222222222222,77.35502688733699,69.85302446350823,7.502002423828756,0.2004263880291876,0.02603330632811983,97.0,55.0,86.0,40.0,3.326082966367007,61.0
VT,Virginia Tech Hokies,10.0 - 7.0,0.5882352941176471,0.8027777777777778,75.93807788926388,64.30440144861872,11.63367644064516,0.1542191975171022,0.07868843898266709,32.0,71.0,50.0,69.0,3.3204141774549,62.0
MIA,Miami Hurricanes,12.0 - 6.0,0.6666666666666666,0.7972222222222223,82.17050482654018,72.99751007327147,9.17299475326871,0.1960027876012258,0.04276598894301637,68.0,76.5,68.0,42.0,3.301994929854227,63.0
SDSU,San Diego State Aztecs,15.0 - 4.0,0.7894736842105263,0.8194444444444444,76.45442740824708,69.83317364302847,6.621253765218611,0.2226342282445144,0.06753676490932586,41.0,64.5,95.0,30.0,3.2755354806277444,64.0
JOES,Saint Joseph's Hawks,12.0 - 6.0,0.6666666666666666,0.8333333333333334,78.04057815152231,69.35131860318644,8.689259548335869,0.1690664292152247,-0.0269023273044442,196.0,58.5,73.0,62.0,3.207840648513777,65.0
HPU,High Point Panthers,16.0 - 4.0,0.8,0.8944444444444445,82.25735666245444,74.45208268801744,7.805273974437,0.1464607929838046,-0.040542676340243326,236.0,37.0,83.0,72.0,3.1848866537782428,66.0
BUT,Butler Bulldogs,12.0 - 6.0,0.6666666666666666,0.8,77.12758279826359,69.00325025040816,8.124332547855431,0.1922334095218152,0.07118527032033778,37.0,73.5,79.0,44.0,3.1774011725361593,67.0
MASS,Massachusetts Minutemen,12.0 - 6.0,0.6666666666666666,0.8527777777777777,81.00120904985452,72.0868952493883,8.914313800466218,0.145283098546699,-0.007118103756681198,149.0,54.0,71.0,73.0,3.150534657514455,68.0
PITT,Pittsburgh Panthers,11.0 - 7.0,0.6111111111111112,0.8055555555555556,78.93315963289693,65.59859551114425,13.334564121752678,0.0959822157861417,0.033412219067244106,86.0,69.5,34.0,98.0,3.146432034904287,69.0
SAM,Samford Bulldogs,17.0 - 2.0,0.8947368421052632,0.7194444444444444,83.94295026701683,77.228555145899,6.714395121117832,0.25343786751811,-0.018670132460129635,175.0,101.0,94.0,15.0,3.131654668603436,70.0
MEM,Memphis Tigers,14.0 - 4.0,0.7777777777777778,0.8,81.29676656404125,74.82539141427497,6.471375149766274,0.2118234317186037,0.039782708645591996,74.0,73.5,96.0,35.0,3.125068809680119,71.0
ORE,Oregon Ducks,13.0 - 5.0,0.7222222222222222,0.8138888888888889,77.21930491422714,67.65661382179488,9.56269109243226,0.1444548549821354,0.06129028415366586,46.0,68.0,65.0,76.0,3.079339875272491,72.0
FSU,Florida State Seminoles,11.0 - 7.0,0.6111111111111112,0.775,80.9807575711393,72.43613483541509,8.544622735724218,0.1746358657763528,0.10312523210142426,14.0,84.5,74.0,57.0,3.0255923690241335,73.0
