homeTeamAbbrev,awayTeamAbbrev,sport,index,probability,odds,kelly,unitPercent,unitReturn
QUOC,STET,NCAAB,awayWin,0.43226,-118.0,"(-0.23767320000000003, 0)",-0.23767320000000003,0.0
RMU,PFW,NCAAB,under,0.40985499999999997,-110.0,"(-0.23930450000000003, 0)",-0.23930450000000003,0.0
MRST,QUIN,NCAAB,homeCover,0.40758999999999995,-110.0,"(-0.24406100000000014, 0)",-0.24406100000000014,0.0
DEN,NO,NBA,over,0.40757200000000005,-110.0,"(-0.24409879999999995, 0)",-0.24409879999999995,0.0
QUOC,STET,NCAAB,awayCover,0.40719500000000003,-110.0,"(-0.24489050000000007, 0)",-0.24489050000000007,0.0
USF,RICE,NCAAB,awayWin,0.16212700000000002,200.0,"(-0.25680949999999997, 0)",-0.25680949999999997,0.0
VILL,DEP,NCAAB,over,0.40109800000000007,-110.0,"(-0.2576941999999999, 0)",-0.2576941999999999,0.0
MILW,CLEV,NCAAB,homeWin,0.506504,-155.0,"(-0.25841480000000017, 0)",-0.25841480000000017,0.0
UNF,JAX,NCAAB,awayWin,0.2179399999999998,164.0,"(-0.25892585365853693, 0)",-0.25892585365853693,0.0
RMU,PFW,NCAAB,homeWin,0.265086,140.0,"(-0.2598525714285715, 0)",-0.2598525714285715,0.0
MRST,QUIN,NCAAB,homeWin,0.43235199999999996,-122.0,"(-0.26017856000000006, 0)",-0.26017856000000006,0.0
MILW,CLEV,NCAAB,under,0.38798199999999994,-110.0,"(-0.2852378000000002, 0)",-0.2852378000000002,0.0
NEV,BOIS,NCAAB,awayCover,0.382054,-108.0,"(-0.28532768, 0)",-0.28532768,0.0
YSU,WRST,NCAAB,awayCover,0.37894,-110.0,"(-0.30422599999999994, 0)",-0.30422599999999994,0.0
VILL,DEP,NCAAB,homeWin,0.947687,-2400.0,"(-0.30782500000000135, 0)",-0.30782500000000135,0.0
MIA,ORL,NBA,over,0.374015,-110.0,"(-0.31456850000000003, 0)",-0.31456850000000003,0.0
MIN,PHI,NHL,homeCover,0.12305699999999997,200.0,"(-0.31541450000000004, 0)",-0.31541450000000004,0.0
USF,RICE,NCAAB,under,0.366276,-108.0,"(-0.3181459199999999, 0)",-0.3181459199999999,0.0
YSU,WRST,NCAAB,awayWin,0.33397999999999994,102.0,"(-0.31898078431372556, 0)",-0.31898078431372556,0.0
QUOC,STET,NCAAB,under,0.376012,-112.0,"(-0.3228545599999999, 0)",-0.3228545599999999,0.0
IU,MINN,NCAAB,homeWin,0.545436,-192.0,"(-0.3273268799999999, 0)",-0.3273268799999999,0.0
RMU,PFW,NCAAB,homeCover,0.355039,-108.0,"(-0.34151887999999997, 0)",-0.34151887999999997,0.0
KENN,FGCU,NCAAB,under,0.359563,-110.0,"(-0.34491769999999994, 0)",-0.34491769999999994,0.0
CHI,GS,NBA,over,0.346087,-108.0,"(-0.36013904, 0)",-0.36013904,0.0
MEM,LAC,NBA,awayWin,0.667978,-310.0,"(-0.36129020000000023, 0)",-0.36129020000000023,0.0
DEN,NO,NBA,homeCover,0.350344,-110.0,"(-0.3642776000000001, 0)",-0.3642776000000001,0.0
DAL,NSH,NHL,homeWin,0.498565,-175.0,"(-0.3789462500000002, 0)",-0.3789462500000002,0.0
KENN,FGCU,NCAAB,awayCover,0.341155,-110.0,"(-0.38357450000000004, 0)",-0.38357450000000004,0.0
MIN,POR,NBA,over,0.338496,-110.0,"(-0.3891584, 0)",-0.3891584,0.0
DET,HOU,NBA,awayWin,0.649964,-298.0,"(-0.3931432800000001, 0)",-0.3931432800000001,0.0
ATL,IND,NBA,homeWin,0.528802,-205.0,"(-0.4371539, 0)",-0.4371539,0.0
IOWA,NEB,NCAAB,homeWin,0.5172829999999999,-198.0,"(-0.4384966600000001, 0)",-0.4384966600000001,0.0
YSU,WRST,NCAAB,under,0.313741,-110.0,"(-0.4411439, 0)",-0.4411439,0.0
UNF,JAX,NCAAB,awayCover,0.308619,-110.0,"(-0.4519001, 0)",-0.4519001,0.0
PHI,SAC,NBA,awayWin,0.30335599999999996,-112.0,"(-0.4768852800000001, 0)",-0.4768852800000001,0.0
PHI,SAC,NBA,awayCover,0.284265,-108.0,"(-0.48872879999999996, 0)",-0.48872879999999996,0.0
AKR,BUFF,NCAAB,under,0.27984800000000004,-108.0,"(-0.4979161599999999, 0)",-0.4979161599999999,0.0
VILL,DEP,NCAAB,awayCover,0.268641,-105.0,"(-0.49928595, 0)",-0.49928595,0.0
PHI,SAC,NBA,over,0.28194199999999997,-110.0,"(-0.5079218000000001, 0)",-0.5079218000000001,0.0
SA,CHA,NBA,awayWin,0.16574900000000004,120.0,"(-0.5294601666666666, 0)",-0.5294601666666666,0.0
MIN,POR,NBA,awayCover,0.25685399999999997,-108.0,"(-0.5457436800000002, 0)",-0.5457436800000002,0.0
USF,RICE,NCAAB,awayCover,0.270454,-115.0,"(-0.5685239, 0)",-0.5685239,0.0
CAN,SIE,NCAAB,awayCover,0.253487,-112.0,"(-0.5826075599999999, 0)",-0.5826075599999999,0.0
ATL,IND,NBA,under,0.23838499999999999,-108.0,"(-0.5841592000000001, 0)",-0.5841592000000001,0.0
MIN,PHI,NHL,homeWin,0.27828899999999995,-120.0,"(-0.5877642000000001, 0)",-0.5877642000000001,0.0
MEM,LAC,NBA,over,0.24308500000000005,-110.0,"(-0.5895215, 0)",-0.5895215,0.0
NEV,BOIS,NCAAB,over,0.222186,-110.0,"(-0.6334094, 0)",-0.6334094,0.0
SA,CHA,NBA,awayCover,0.20949299999999998,-110.0,"(-0.6600647000000002, 0)",-0.6600647000000002,0.0
MRST,QUIN,NCAAB,over,0.067767,-110.0,"(-0.9576893000000001, 0)",-0.9576893000000001,0.0
DEN,NO,NBA,homeWin,0.5259969999999999,-340.0,"(-1.0856132, 0)",-1.0856132,0.0
AKR,BUFF,NCAAB,homeWin,0.874658,-1650.0,"(-1.193484999999999, 0)",-1.193484999999999,0.0
