,teamName,teamConference,homeDom,homeCount,homeConferenceCount,awayDom,awayCount,awayConferenceCount,conferenceGames,homeCookin,ovrDom,homeDomAdj,homeDomAdjCnt,awayDomAdj,awayDomAdjCnt,ovrDomAdj,conferenceRating,ovrRating,teamTopExpPerf,teamRegRsq,finalRating,rank
tid_258,Virginia Cavaliers,Atlantic Coast Conference,0.8537089303602331,4,2,0.8493359669534102,5,3,5,1.0025710374149828,0.8875462172049922,0.9830877120985152,3,1.0183728295007057,5,1.039249746457707,1.1740143404738164,1.0071075974014183,0.8137534373561206,0.10487476759840288,1.033556697597842,47.0
tid_2116,UCF Knights,Big 12 Conference,1.121506632201837,4,2,0.8390539463081857,5,4,6,1.05,0.9952115648172668,0.980670251410361,3,1.0125712791238513,5,1.0345898251120293,1.2998674466859192,1.0618074461672526,0.7456758746604117,0.7821980757581447,1.0302417483275168,48.0
tid_120,Maryland Terrapins,Big Ten Conference,1.0281487186403966,6,3,0.9146915780395408,3,3,6,1.05,1.030977211599982,0.9620717748790135,5,0.997558378085136,3,1.0084691462087652,1.1030920902521912,1.0321028422746805,0.770911022910487,0.3498499287845321,1.026424794737683,49.0
tid_275,Wisconsin Badgers,Big Ten Conference,1.0142409764424987,5,3,0.88835812865349,4,3,6,1.05,0.9969703046827318,1.0310584837384562,5,0.9461117273396619,4,1.0262269850440122,1.1030920902521912,1.0295744749398545,0.7656235212604139,0.3793116783256259,1.0220977093966641,50.0
tid_2628,TCU Horned Frogs,Big 12 Conference,1.1676589107064572,5,2,0.7102591819630246,4,4,6,1.05,0.9760701634324296,1.0891673539006264,4,0.9563205480782263,4,1.0553709264496363,1.2998674466859192,1.0654983199059203,0.7250253119930199,0.3616736860630259,1.0208562146245166,51.0
tid_164,Rutgers Scarlet Knights,Big Ten Conference,1.1397432468803748,6,3,0.7968662325910058,3,3,6,1.05,1.054678371010053,1.0103117664669152,5,0.9688292700326311,3,1.0284505755103759,1.1030920902521912,1.0502040858894082,0.7380580283847928,0.5653326759605584,1.0192766457447018,52.0
tid_103,Boston College Eagles,Atlantic Coast Conference,0.9392470390628566,5,2,0.9078981430042926,4,3,5,1.0171180311565693,0.9646010578112766,0.9313678590116603,4,1.007747621864516,4,1.0018266694466904,1.1740143404738164,1.0166335906469215,0.7673293437896602,0.40885412984207486,1.0152734834497186,53.0
tid_8,Arkansas Razorbacks,Southeastern Conference,0.9938404038025211,5,2,0.847427966636024,4,4,6,1.05,0.9653285440043412,0.9342957650589452,4,1.0345275727156018,4,1.0166449313480759,1.188165637324941,1.0264297074160593,0.7454883829392407,0.7523826091730079,1.0094051769926364,54.0
tid_25,California Golden Bears,Pac-12 Conference,0.9885308253927316,5,3,0.6738808131129623,4,3,6,1.05,0.8692640270641483,1.0805875617907552,4,0.961429203066852,4,1.0540099516966388,1.3892269016339898,1.0358776705140884,0.7301580659693827,0.8145493804332529,1.006568848461293,55.0
tid_2751,Wyoming Cowboys,Mountain West Conference,1.1848854076714073,6,3,0.7042971864216283,3,2,5,1.05,1.038699123566079,1.0121144369464306,5,0.903742568343078,3,1.0030933793610701,0.7328715294396162,0.9639294772292735,0.8133603585970219,0.30534161474100646,1.0065422411445595,56.0
