SEA,SF,probability
6,54,5.19E-05
9,21,5.19E-05
7,22,5.19E-05
11,39,5.15E-05
37,43,5.13E-05
41,43,5.06E-05
29,39,5.05E-05
32,26,5.01E-05
43,28,5.00E-05
38,20,4.99E-05
32,32,4.99E-05
22,20,4.98E-05
7,21,4.97E-05
26,43,4.90E-05
44,23,4.90E-05
28,47,4.87E-05
20,56,4.86E-05
56,45,4.83E-05
16,50,4.83E-05
31,49,4.83E-05
39,24,4.81E-05
44,44,4.80E-05
19,54,4.80E-05
49,35,4.77E-05
35,39,4.76E-05
44,48,4.68E-05
40,23,4.67E-05
30,54,4.63E-05
18,25,4.63E-05
9,54,4.62E-05
40,44,4.57E-05
37,20,4.54E-05
42,25,4.49E-05
41,20,4.48E-05
40,48,4.46E-05
36,23,4.46E-05
33,51,4.45E-05
24,50,4.44E-05
7,54,4.43E-05
43,35,4.40E-05
12,43,4.39E-05
36,44,4.36E-05
54,25,4.35E-05
56,36,4.35E-05
21,49,4.34E-05
26,20,4.34E-05
34,49,4.32E-05
48,51,4.30E-05
49,24,4.26E-05
36,48,4.25E-05
8,41,4.22E-05
56,29,4.17E-05
18,39,4.13E-05
50,41,4.11E-05
13,19,4.09E-05
6,49,4.09E-05
28,22,4.08E-05
56,42,4.05E-05
38,47,4.03E-05
22,47,4.02E-05
42,39,4.01E-05
25,43,4.01E-05
3,41,3.99E-05
70,45,3.98E-05
15,43,3.97E-05
43,24,3.93E-05
45,43,3.92E-05
28,21,3.91E-05
47,45,3.90E-05
12,20,3.89E-05
54,39,3.88E-05
27,50,3.88E-05
32,23,3.88E-05
10,19,3.83E-05
32,44,3.79E-05
19,49,3.78E-05
51,51,3.78E-05
11,51,3.72E-05
56,40,3.72E-05
32,48,3.70E-05
37,47,3.66E-05
30,49,3.65E-05
29,51,3.65E-05
9,49,3.64E-05
41,47,3.62E-05
39,45,3.60E-05
70,36,3.58E-05
17,19,3.58E-05
25,20,3.55E-05
44,25,3.52E-05
15,20,3.51E-05
47,36,3.51E-05
26,47,3.50E-05
7,49,3.49E-05
28,54,3.48E-05
8,33,3.47E-05
45,20,3.47E-05
35,51,3.44E-05
70,29,3.44E-05
14,50,3.42E-05
50,33,3.39E-05
38,22,3.38E-05
47,29,3.37E-05
22,22,3.37E-05
40,25,3.35E-05
33,43,3.35E-05
70,42,3.34E-05
20,19,3.33E-05
8,28,3.30E-05
3,33,3.28E-05
47,42,3.27E-05
16,56,3.25E-05
39,36,3.24E-05
38,21,3.24E-05
48,43,3.23E-05
56,26,3.23E-05
22,21,3.23E-05
56,32,3.22E-05
50,28,3.22E-05
36,25,3.20E-05
49,45,3.19E-05
44,39,3.14E-05
12,47,3.14E-05
3,28,3.12E-05
39,29,3.10E-05
37,22,3.07E-05
70,40,3.06E-05
41,22,3.03E-05
39,42,3.02E-05
47,40,3.00E-05
40,39,3.00E-05
18,51,2.99E-05
24,56,2.98E-05
33,20,2.96E-05
43,45,2.94E-05
37,21,2.94E-05
26,22,2.93E-05
5,34,2.92E-05
41,21,2.90E-05
8,35,2.90E-05
42,51,2.90E-05
23,50,2.89E-05
38,54,2.88E-05
22,54,2.87E-05
49,36,2.87E-05
25,47,2.87E-05
36,39,2.86E-05
48,20,2.86E-05
51,43,2.84E-05
15,47,2.84E-05
50,35,2.83E-05
26,21,2.81E-05
54,51,2.81E-05
45,47,2.80E-05
11,43,2.80E-05
32,25,2.78E-05
39,40,2.77E-05
49,29,2.75E-05
29,43,2.74E-05
28,49,2.74E-05
3,35,2.74E-05
49,42,2.67E-05
70,26,2.66E-05
70,32,2.65E-05
43,36,2.65E-05
12,22,2.63E-05
37,54,2.62E-05
27,56,2.61E-05
47,26,2.61E-05
47,32,2.60E-05
8,24,2.59E-05
41,54,2.59E-05
35,43,2.58E-05
5,31,2.55E-05
43,29,2.54E-05
50,24,2.53E-05
12,21,2.52E-05
51,20,2.51E-05
26,54,2.50E-05
56,23,2.50E-05
32,39,2.49E-05
11,20,2.47E-05
43,42,2.47E-05
49,40,2.45E-05
3,24,2.45E-05
56,44,2.45E-05
29,20,2.43E-05
39,26,2.40E-05
25,22,2.40E-05
39,32,2.40E-05
33,47,2.39E-05
56,48,2.39E-05
15,22,2.38E-05
31,50,2.35E-05
45,22,2.35E-05
48,47,2.31E-05
14,56,2.30E-05
25,21,2.30E-05
35,20,2.29E-05
15,21,2.28E-05
38,49,2.27E-05
44,51,2.27E-05
22,49,2.27E-05
43,40,2.26E-05
45,21,2.25E-05
12,54,2.25E-05
18,43,2.25E-05
16,19,2.23E-05
42,43,2.18E-05
40,51,2.16E-05
49,26,2.13E-05
49,32,2.12E-05
21,50,2.11E-05
54,43,2.11E-05
34,50,2.10E-05
37,49,2.07E-05
36,51,2.07E-05
70,23,2.06E-05
25,54,2.05E-05
24,19,2.05E-05
41,49,2.04E-05
15,54,2.03E-05
51,47,2.03E-05
47,23,2.02E-05
70,44,2.01E-05
45,54,2.00E-05
33,22,2.00E-05
11,47,2.00E-05
6,50,1.99E-05
18,20,1.99E-05
47,44,1.97E-05
26,49,1.97E-05
70,48,1.97E-05
43,26,1.97E-05
29,47,1.96E-05
43,32,1.96E-05
23,56,1.95E-05
8,45,1.94E-05
48,22,1.93E-05
47,48,1.93E-05
42,20,1.93E-05
33,21,1.92E-05
50,45,1.89E-05
