DET,GB,probability
50,17,6.13E-05
19,34,6.04E-05
22,33,6.04E-05
48,29,6.03E-05
33,39,6.02E-05
42,40,5.99E-05
32,40,5.95E-05
39,45,5.95E-05
25,36,5.93E-05
40,44,5.93E-05
24,50,5.92E-05
54,31,5.92E-05
26,56,5.91E-05
48,35,5.89E-05
24,3,5.86E-05
45,32,5.80E-05
41,49,5.79E-05
50,20,5.78E-05
44,29,5.78E-05
47,21,5.77E-05
21,29,5.72E-05
48,11,5.72E-05
22,51,5.72E-05
56,13,5.70E-05
33,49,5.67E-05
44,35,5.65E-05
17,31,5.65E-05
19,21,5.63E-05
47,6,5.62E-05
20,32,5.62E-05
39,12,5.62E-05
21,35,5.60E-05
29,56,5.59E-05
42,36,5.58E-05
51,26,5.55E-05
32,36,5.54E-05
40,40,5.51E-05
23,47,5.49E-05
44,11,5.49E-05
19,6,5.48E-05
21,11,5.43E-05
36,32,5.41E-05
48,54,5.39E-05
54,34,5.39E-05
39,25,5.38E-05
49,14,5.37E-05
56,10,5.36E-05
35,47,5.29E-05
26,70,5.26E-05
48,42,5.18E-05
44,54,5.17E-05
41,43,5.16E-05
17,34,5.14E-05
40,36,5.13E-05
21,54,5.12E-05
47,30,5.12E-05
39,15,5.09E-05
24,8,5.08E-05
33,43,5.05E-05
25,32,5.03E-05
43,28,5.03E-05
56,17,5.03E-05
54,21,5.02E-05
39,48,4.99E-05
38,50,4.99E-05
51,45,4.99E-05
19,30,4.99E-05
47,19,4.98E-05
29,70,4.98E-05
44,42,4.97E-05
38,3,4.95E-05
21,42,4.92E-05
54,6,4.89E-05
19,19,4.85E-05
22,29,4.83E-05
23,39,4.82E-05
37,50,4.82E-05
17,21,4.79E-05
47,9,4.78E-05
37,3,4.77E-05
56,20,4.74E-05
42,32,4.73E-05
22,35,4.72E-05
39,33,4.72E-05
49,23,4.71E-05
51,12,4.71E-05
32,32,4.70E-05
47,7,4.69E-05
17,6,4.66E-05
19,9,4.65E-05
35,39,4.65E-05
48,18,4.64E-05
22,11,4.59E-05
19,7,4.57E-05
28,50,4.56E-05
23,49,4.54E-05
26,47,4.53E-05
16,13,4.53E-05
28,3,4.52E-05
51,25,4.51E-05
39,51,4.47E-05
44,18,4.45E-05
54,30,4.45E-05
43,38,4.44E-05
21,18,4.41E-05
35,49,4.37E-05
40,32,4.35E-05
54,19,4.33E-05
22,54,4.32E-05
45,56,4.32E-05
29,47,4.29E-05
38,8,4.28E-05
51,15,4.27E-05
16,10,4.26E-05
17,30,4.24E-05
20,56,4.19E-05
51,48,4.18E-05
22,42,4.15E-05
54,9,4.15E-05
37,8,4.13E-05
17,19,4.13E-05
48,44,4.12E-05
54,7,4.08E-05
43,41,4.05E-05
23,43,4.04E-05
36,56,4.04E-05
43,22,4.01E-05
49,31,4.01E-05
43,37,4.01E-05
16,17,3.99E-05
26,39,3.98E-05
17,9,3.96E-05
51,33,3.95E-05
44,44,3.95E-05
28,8,3.91E-05
21,44,3.91E-05
35,43,3.90E-05
17,7,3.89E-05
45,70,3.84E-05
48,40,3.82E-05
50,16,3.80E-05
47,28,3.80E-05
39,29,3.77E-05
16,20,3.77E-05
29,39,3.76E-05
25,56,3.75E-05
51,51,3.74E-05
26,49,3.74E-05
20,70,3.73E-05
22,18,3.72E-05
19,28,3.70E-05
39,35,3.69E-05
44,40,3.67E-05
49,34,3.65E-05
21,40,3.63E-05
50,24,3.63E-05
36,70,3.59E-05
39,11,3.58E-05
43,26,3.58E-05
48,36,3.56E-05
29,49,3.54E-05
42,56,3.53E-05
32,56,3.51E-05
41,50,3.46E-05
41,3,3.42E-05
44,36,3.41E-05
49,21,3.40E-05
21,36,3.38E-05
33,50,3.38E-05
39,54,3.38E-05
33,3,3.35E-05
47,38,3.35E-05
25,70,3.34E-05
26,43,3.33E-05
49,6,3.31E-05
45,47,3.31E-05
54,28,3.30E-05
22,44,3.30E-05
19,38,3.26E-05
39,42,3.25E-05
40,56,3.24E-05
50,27,3.23E-05
43,45,3.22E-05
20,47,3.21E-05
51,29,3.16E-05
29,43,3.15E-05
17,28,3.15E-05
42,70,3.14E-05
56,16,3.12E-05
32,70,3.12E-05
36,47,3.09E-05
51,35,3.09E-05
22,40,3.07E-05
47,41,3.06E-05
43,12,3.04E-05
47,22,3.03E-05
47,37,3.02E-05
48,32,3.02E-05
49,30,3.02E-05
51,11,3.00E-05
19,41,2.98E-05
56,24,2.98E-05
41,8,2.96E-05
19,22,2.95E-05
19,37,2.94E-05
49,19,2.93E-05
43,25,2.91E-05
54,38,2.91E-05
39,18,2.91E-05
45,39,2.91E-05
