BYU,OU,probability
13,81,0.00024779784260337505
24,39,0.0002475193268080795
23,35,0.00024739942111120616
24,47,0.0002470612050229926
24,27,0.0002465294335866214
35,31,0.00024610374607103575
21,40,0.0002457125097791738
52,31,0.0002456771958494785
49,56,0.00024468944209128874
9,31,0.00024367085605277378
7,76,0.00024306046209339582
42,34,0.00024233335108265986
16,44,0.0002421930560008862
69,52,0.00024202043634864514
77,59,0.00024136903103866463
31,73,0.00024085505723344845
41,66,0.00023980288044281005
34,37,0.0002391908727249354
49,55,0.00023905821637126728
21,70,0.00023826102689339254
28,37,0.00023818417750349862
35,66,0.00023783280359081625
52,66,0.00023742058867460783
73,56,0.0002369659139134566
11,45,0.00023658076144497203
14,53,0.00023626119401572792
37,59,0.0002359871099373971
12,59,0.00023580860885947288
9,66,0.00023548167703094528
13,53,0.0002353997733531775
26,52,0.00023465435647995956
34,62,0.0002346326498147492
30,34,0.00023428218004190152
70,41,0.00023379891937119597
28,62,0.00023364513902610307
70,48,0.00023326730899580627
63,42,0.00023255992918059636
24,28,0.00023207309729406488
73,55,0.0002315124356685718
